iter	Passed	Remaining
0	15	4701
1	31	4731
2	51	5056
3	62	4635
4	75	4474
5	94	4652
6	106	4454
7	109	4007
8	124	4026
9	131	3821
10	138	3627
11	151	3627
12	166	3674
13	182	3727
14	198	3762
15	215	3831
16	235	3925
17	252	3949
18	265	3921
19	277	3887
20	295	3921
21	313	3959
22	327	3948
23	350	4029
24	363	3999
25	382	4035
26	404	4091
27	426	4142
28	454	4245
29	481	4336
30	511	4435
31	536	4492
32	566	4580
33	590	4620
34	610	4622
35	630	4625
36	644	4583
37	660	4552
38	681	4557
39	696	4527
40	710	4488
41	730	4485
42	747	4468
43	771	4486
44	784	4444
45	804	4440
46	828	4459
47	846	4446
48	864	4427
49	890	4450
50	912	4456
51	931	4441
52	945	4407
53	960	4375
54	980	4365
55	1015	4423
56	1053	4491
57	1083	4519
58	1112	4543
59	1135	4540
60	1159	4541
61	1189	4564
62	1203	4528
63	1227	4524
64	1249	4517
65	1270	4503
66	1288	4482
67	1310	4471
68	1332	4460
69	1351	4440
70	1392	4492
71	1413	4477
72	1430	4447
73	1448	4423
74	1472	4418
75	1490	4393
76	1512	4379
77	1531	4359
78	1551	4339
79	1564	4303
80	1582	4277
81	1605	4269
82	1627	4254
83	1643	4227
84	1665	4211
85	1681	4185
86	1709	4185
87	1731	4172
88	1749	4147
89	1771	4132
90	1792	4117
91	1814	4102
92	1836	4086
93	1850	4054
94	1870	4035
95	1890	4017
96	1910	3998
97	1935	3988
98	1956	3972
99	1977	3954
100	2001	3943
101	2022	3925
102	2043	3909
103	2065	3893
104	2090	3881
105	2109	3860
106	2128	3839
107	2145	3813
108	2171	3805
109	2193	3788
110	2213	3769
111	2240	3760
112	2259	3739
113	2284	3727
114	2305	3708
115	2327	3691
116	2351	3678
117	2372	3659
118	2399	3650
119	2418	3628
120	2438	3607
121	2460	3590
122	2483	3573
123	2508	3560
124	2526	3537
125	2546	3517
126	2569	3500
127	2586	3474
128	2608	3457
129	2628	3437
130	2648	3416
131	2665	3392
132	2684	3371
133	2706	3353
134	2731	3338
135	2754	3321
136	2772	3298
137	2802	3290
138	2831	3279
139	2851	3258
140	2873	3240
141	2892	3218
142	2912	3198
143	2939	3183
144	2964	3168
145	2987	3151
146	3013	3136
147	3034	3116
148	3054	3095
149	3077	3077
150	3098	3057
151	3118	3036
152	3145	3022
153	3162	2998
154	3187	2982
155	3209	2962
156	3232	2944
157	3253	2924
158	3276	2905
159	3295	2883
160	3315	2862
161	3331	2838
162	3357	2821
163	3373	2797
164	3394	2777
165	3414	2755
166	3432	2733
167	3452	2712
168	3469	2689
169	3491	2669
170	3506	2645
171	3527	2625
172	3546	2603
173	3563	2580
174	3586	2561
175	3605	2540
176	3624	2518
177	3648	2500
178	3667	2479
179	3690	2460
180	3710	2439
181	3733	2420
182	3753	2399
183	3776	2380
184	3795	2359
185	3817	2339
186	3837	2319
187	3858	2298
188	3879	2278
189	3897	2256
190	3919	2236
191	3946	2219
192	3966	2199
193	3986	2177
194	4005	2157
195	4029	2137
196	4052	2118
197	4072	2098
198	4094	2078
199	4114	2057
200	4137	2037
201	4160	2018
202	4180	1997
203	4199	1976
204	4219	1955
205	4244	1936
206	4254	1911
207	4273	1890
208	4293	1869
209	4318	1850
210	4341	1831
211	4362	1810
212	4381	1789
213	4405	1770
214	4427	1750
215	4450	1730
216	4471	1710
217	4489	1688
218	4509	1667
219	4530	1647
220	4551	1626
221	4572	1606
222	4594	1586
223	4616	1566
224	4640	1546
225	4662	1526
226	4682	1505
227	4706	1486
228	4724	1464
229	4743	1443
230	4761	1422
231	4783	1402
232	4808	1382
233	4826	1361
234	4846	1340
235	4866	1319
236	4891	1300
237	4911	1279
238	4929	1258
239	4948	1237
240	4969	1216
241	4985	1194
242	5006	1174
243	5028	1154
244	5052	1134
245	5072	1113
246	5092	1092
247	5110	1071
248	5130	1050
249	5150	1030
250	5171	1009
251	5189	988
252	5209	967
253	5232	947
254	5248	926
255	5269	905
256	5289	885
257	5311	864
258	5339	845
259	5360	824
260	5380	803
261	5398	782
262	5420	762
263	5439	741
264	5463	721
265	5484	701
266	5504	680
267	5528	660
268	5551	639
269	5575	619
270	5595	598
271	5619	578
272	5637	557
273	5658	536
274	5672	515
275	5688	494
276	5709	474
277	5736	453
278	5756	433
279	5773	412
280	5790	391
281	5811	370
282	5829	350
283	5851	329
284	5874	309
285	5897	288
286	5916	267
287	5936	247
288	5959	226
289	5983	206
290	6000	185
291	6020	164
292	6043	144
293	6062	123
294	6078	103
295	6095	82
296	6118	61
297	6144	41
298	6168	20
299	6188	0
